@RELATION knnMusicGenre3
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {artifact,extrahls,murmur,normal}

@DATA
0.384100,0.007280,3.202300,0.419434,0.220953,1.226487,0.004024,0.464101,-35.094814,0.860153,-0.517565,0.165314,-0.080612,-0.246875,0.006720,-0.094235,-0.181894,0.000120,-0.001048,0.030139,-0.055788,0.010355,0.002091,0.009581,0.008668,0.025358,0.017256,0.020112,0.002975,0.003136,0.006169,0.011139,0.003053,0.016451,0.068729,0.010663,0.136853,0.056604,0.013378,0.362412,0.002899,0.101213,2.042147,0.471483,0.290424,0.220713,0.182855,0.160293,0.169060,0.166246,0.178650,0.153135,0.140881,0.151660,0.149486,0.011035,0.001848,0.013363,0.012203,0.008502,0.017608,0.019270,0.002894,0.002374,0.006221,0.013085,0.003854,0.007958,171.428571,0.145631,artifact
0.476747,0.002128,3.124270,0.495656,0.208238,1.108886,0.004198,0.455666,-40.244563,1.181231,-0.356792,0.223062,-0.067429,-0.039829,-0.056275,-0.074758,-0.115595,-0.059745,-0.034530,0.005300,-0.056809,0.011334,0.001739,0.011695,0.007764,0.035920,0.012301,0.009504,0.001964,0.005274,0.008076,0.010780,0.002953,0.015706,0.054938,0.003393,0.233750,0.056952,0.029068,0.213712,0.002665,0.100297,1.618086,0.482361,0.284608,0.287338,0.109549,0.097679,0.133370,0.097950,0.099610,0.096797,0.129022,0.110911,0.108476,0.011262,0.001547,0.010527,0.007254,0.007022,0.015243,0.006500,0.002045,0.006119,0.008645,0.008982,0.003497,0.004746,240.000000,0.142857,artifact
0.171854,0.000870,2.832505,0.231513,0.222046,0.479809,0.010402,0.169051,-34.058826,2.424912,0.193531,0.279544,-0.059783,-0.126344,-0.175172,-0.145298,-0.221793,-0.111280,-0.192774,-0.197727,-0.098497,0.026259,0.002758,0.054972,0.034667,0.024984,0.010528,0.020284,0.001296,0.005682,0.012598,0.021034,0.007636,0.024685,0.117966,0.001844,0.536672,0.119110,0.039594,0.406154,0.008913,0.162231,3.688193,0.900990,0.631317,0.360562,0.284760,0.228878,0.247847,0.233283,0.210741,0.195030,0.177142,0.196516,0.172561,0.024686,0.003529,0.047690,0.036692,0.024241,0.012230,0.019873,0.001341,0.005757,0.012162,0.017159,0.009474,0.013635,300.000000,0.139344,artifact
0.051913,0.319787,3.252901,0.126366,0.173299,0.063823,0.020126,0.053453,-23.240576,0.048458,-1.707016,1.428665,0.282437,-0.689230,0.260669,0.567200,-0.516848,0.000445,0.384213,-0.242951,-0.227507,0.000366,0.000291,0.000703,0.001660,0.132737,0.003285,0.000671,0.000255,0.000246,0.000257,0.000330,0.000275,0.036500,0.002607,0.044768,0.049666,0.040917,0.047313,0.122646,0.020590,0.006880,1.202013,0.664526,0.442190,0.266330,0.209054,0.167027,0.155812,0.169263,0.153320,0.136228,0.145374,0.120346,0.135123,0.000402,0.000169,0.000471,0.000977,0.044348,0.002381,0.000450,0.000140,0.000234,0.000244,0.000358,0.000332,0.012315,300.000000,0.130112,artifact
0.176296,0.003646,2.811273,0.225361,0.239565,1.051873,0.006357,0.247343,-31.920929,1.692272,-0.163216,0.088121,-0.175007,-0.093283,-0.185635,-0.075065,-0.132432,-0.057442,-0.077654,-0.046452,-0.097951,0.016687,0.004887,0.019095,0.010640,0.018162,0.011380,0.018682,0.003188,0.007932,0.019303,0.021187,0.007386,0.010511,0.083341,0.008900,0.515096,0.084374,0.049447,0.533276,0.006149,0.179337,3.788325,0.913234,0.462326,0.340120,0.247058,0.198770,0.192221,0.161782,0.148475,0.149514,0.150897,0.147378,0.133499,0.012461,0.003742,0.012382,0.007555,0.012258,0.007919,0.013707,0.002851,0.004940,0.015071,0.012677,0.004915,0.005239,300.000000,0.090909,artifact
0.147104,0.006859,2.566266,0.181045,0.222689,0.650450,0.008908,0.166732,-31.670524,2.399114,-0.058158,0.480931,-0.047255,0.022765,-0.093792,-0.011784,-0.066590,-0.043585,-0.091185,-0.049493,-0.066598,0.020491,0.004175,0.030417,0.015524,0.026123,0.010454,0.032163,0.002625,0.006094,0.022429,0.027786,0.004765,0.015649,0.090617,0.016071,0.567199,0.081349,0.064253,0.455809,0.009181,0.145231,4.441160,0.960828,0.657529,0.411528,0.253112,0.197726,0.187904,0.168520,0.155711,0.151168,0.146291,0.144669,0.147485,0.015437,0.003671,0.021616,0.011838,0.013349,0.008585,0.020099,0.002661,0.005102,0.017243,0.017773,0.004064,0.007032,300.000000,0.104839,artifact
0.067224,0.186613,3.246831,0.206539,0.235934,1.073731,0.002225,0.155949,-21.813353,0.821336,-0.271919,-0.021084,-0.288067,-0.029839,-0.085294,0.082634,-0.121695,0.015570,-0.009813,-0.010359,-0.044350,0.012636,0.006599,0.015063,0.009022,0.011029,0.014373,0.016080,0.004890,0.008485,0.010471,0.013102,0.008527,0.008222,0.015968,0.025580,0.052216,0.026066,0.015735,0.262867,0.001254,0.032813,0.974915,0.378004,0.257641,0.218843,0.189169,0.184638,0.196215,0.187264,0.200639,0.147189,0.173632,0.169125,0.163761,0.010032,0.004933,0.006688,0.006088,0.005719,0.012299,0.008151,0.003851,0.006547,0.006524,0.007492,0.005983,0.003416,150.000000,0.093333,artifact
0.176623,0.013624,3.149544,0.226433,0.197827,0.391663,0.006876,0.198165,-27.869719,2.147851,-0.787613,0.111202,-0.189239,-0.034092,-0.110231,0.023286,-0.043976,0.100365,-0.131870,-0.124030,0.004045,0.021880,0.012628,0.011314,0.020066,0.014543,0.007888,0.019826,0.003555,0.013180,0.012057,0.017578,0.014352,0.015890,0.072888,0.011440,0.181205,0.083489,0.023121,0.201411,0.004247,0.095110,2.586134,0.470270,0.361877,0.263492,0.292411,0.226631,0.200119,0.213179,0.195708,0.215509,0.194918,0.190394,0.201089,0.021140,0.014853,0.008813,0.024426,0.012327,0.007803,0.017172,0.004790,0.014467,0.013956,0.015809,0.018377,0.008482,200.000000,0.109453,artifact
0.004441,0.028881,2.574161,0.100098,0.191453,0.062908,0.049351,0.012019,-29.071756,2.544616,0.416017,0.558091,0.260373,0.254423,0.202179,0.119203,0.142029,0.109579,0.095193,0.094022,0.084548,0.000860,0.000141,0.172691,0.000605,0.026432,0.000506,0.215159,0.000086,0.000280,0.001292,0.011355,0.000163,0.083104,0.004554,0.033066,0.285689,0.067329,0.044534,0.167794,0.037916,0.038262,2.405599,0.297142,0.221561,0.171899,0.123676,0.103670,0.129874,0.118658,0.129216,0.093641,0.090501,0.083862,0.096462,0.001333,0.000250,0.109070,0.001041,0.025955,0.000990,0.113791,0.000161,0.000548,0.002468,0.013906,0.000258,0.020904,300.000000,0.114894,artifact
0.075912,0.000425,3.187848,0.131957,0.165348,0.575458,0.004403,0.108096,-28.935788,0.904023,-0.260755,-0.117080,-0.157403,-0.265042,-0.678696,-0.074445,-0.208578,-0.308388,0.152603,-0.072161,-0.084808,0.010309,0.003730,0.023872,0.006748,0.009344,0.016580,0.011732,0.004915,0.032837,0.008903,0.007500,0.006091,0.016890,0.021075,0.000376,0.144231,0.021376,0.026045,0.237996,0.002039,0.030189,0.678248,0.434742,0.337197,0.286914,0.233482,0.211994,0.192022,0.203847,0.206092,0.261963,0.241059,0.256850,0.193316,0.010858,0.003019,0.023662,0.006318,0.009190,0.021679,0.010188,0.005094,0.031272,0.010760,0.005865,0.005673,0.010237,171.428571,0.111913,artifact
0.087843,0.168040,3.268442,0.208483,0.220133,1.312145,0.002079,0.196673,-20.795638,0.487600,-0.377701,0.009693,-0.054401,0.018535,-0.095195,0.013973,-0.014031,-0.005959,-0.030319,-0.043186,-0.028613,0.011050,0.005923,0.012971,0.007576,0.008164,0.009092,0.012119,0.004383,0.006550,0.008728,0.010356,0.006958,0.006097,0.009775,0.020828,0.038340,0.017839,0.015483,0.152736,0.000641,0.020757,0.714893,0.206574,0.239062,0.263791,0.198207,0.142836,0.155998,0.152336,0.159948,0.163420,0.157020,0.140190,0.135230,0.006826,0.003482,0.006999,0.004066,0.004206,0.008620,0.006258,0.002840,0.004272,0.004866,0.006239,0.004655,0.002513,150.000000,0.108787,artifact
0.065447,0.011224,3.238769,0.108946,0.132997,0.628258,0.003334,0.109352,-23.764629,0.994416,-0.572514,-0.355715,-0.277776,0.078812,-0.296246,0.090003,-0.148675,-0.164465,-0.271271,-0.104857,-0.175224,0.012875,0.012918,0.021621,0.013607,0.010538,0.012257,0.012190,0.007473,0.007542,0.014597,0.012678,0.007172,0.010350,0.010689,0.006085,0.049262,0.011544,0.017080,0.150831,0.001271,0.020197,0.427569,0.207234,0.203827,0.180391,0.163693,0.152042,0.160084,0.155058,0.144872,0.168415,0.149843,0.132932,0.145529,0.008400,0.008875,0.017958,0.009295,0.008507,0.010891,0.007985,0.008045,0.005967,0.010356,0.010156,0.005108,0.005951,133.333333,0.086466,artifact
0.191939,0.101706,3.150396,0.304970,0.250161,2.055453,0.003230,0.488687,-22.891867,0.108468,-0.236977,0.056066,-0.064578,0.033381,-0.027130,0.022844,-0.014960,-0.000783,-0.002422,0.001840,-0.001536,0.004446,0.003632,0.008627,0.005103,0.020368,0.004782,0.009235,0.003229,0.003463,0.004951,0.005966,0.003872,0.006925,0.015968,0.024848,0.200584,0.018264,0.015436,0.155324,0.003754,0.038711,1.261736,0.386272,0.213772,0.178273,0.139294,0.138185,0.148906,0.138864,0.121233,0.131577,0.139315,0.127298,0.126314,0.002126,0.001896,0.004033,0.002762,0.008870,0.002647,0.004775,0.001859,0.002061,0.002616,0.003164,0.002195,0.002650,300.000000,0.277551,artifact
0.129275,0.006594,2.665544,0.179977,0.217438,0.726666,0.006342,0.116616,-31.410795,1.611862,-0.415540,0.311939,-0.053859,0.001933,-0.158599,-0.078805,-0.108816,-0.108762,-0.086080,-0.090931,-0.114763,0.022684,0.005320,0.022902,0.013562,0.015874,0.011206,0.020412,0.004223,0.007540,0.019899,0.021840,0.006268,0.011254,0.060700,0.010881,0.561739,0.061546,0.041208,0.462497,0.005679,0.062104,3.187215,0.796014,0.532803,0.322688,0.264889,0.218068,0.212372,0.185414,0.178320,0.164358,0.161050,0.157372,0.133317,0.015813,0.004586,0.016210,0.010067,0.009220,0.007404,0.012619,0.003655,0.005130,0.014020,0.014409,0.004652,0.005877,240.000000,0.126812,artifact
0.213828,0.229110,3.309206,0.256738,0.155479,0.107104,0.032046,0.224667,-27.263460,1.176477,-0.534225,-0.798462,-0.510737,-0.033629,0.420818,0.139738,0.051488,-0.209165,-0.391386,0.092090,0.055606,0.000479,0.000841,0.058774,0.059003,0.001166,0.000449,0.000340,0.000142,0.000165,0.000306,0.000262,0.000283,0.029028,0.010169,0.019744,0.010777,0.025080,0.027274,0.088973,0.022760,0.016605,1.283689,0.581502,0.252770,0.241749,0.205296,0.168585,0.219355,0.148292,0.135807,0.184553,0.213670,0.217871,0.105825,0.000451,0.000719,0.051912,0.041620,0.000995,0.000395,0.000331,0.000135,0.000154,0.000200,0.000233,0.000243,0.009316,300.000000,0.201717,artifact
0.011890,0.108387,3.181045,0.076034,0.152015,0.026044,0.004883,0.014156,-22.366507,3.047324,-0.203923,0.920736,0.129000,0.356718,-0.074595,-0.202840,-0.259868,-0.167825,-0.184581,-0.216812,-0.215439,0.009365,0.000834,0.008574,0.028890,0.014711,0.004143,0.010712,0.000780,0.002124,0.153048,0.021299,0.001389,0.041330,0.002199,0.018773,0.052224,0.021182,0.035399,0.012337,0.001976,0.003591,0.261122,0.204282,0.168989,0.174824,0.144704,0.149001,0.134682,0.129911,0.126310,0.137155,0.136479,0.136699,0.120376,0.006324,0.000508,0.005109,0.013482,0.009581,0.002859,0.005698,0.000730,0.001406,0.022511,0.012011,0.000947,0.005907,133.333333,0.103321,artifact
0.778443,0.000720,3.291683,0.792637,0.185377,1.644613,0.001320,0.969777,-42.624377,-0.057696,-0.083490,0.076016,-0.066922,0.078372,-0.039670,0.015247,-0.016025,0.020303,-0.018539,0.016515,-0.023887,0.000135,0.000182,0.001465,0.000572,0.001069,0.000941,0.001684,0.001142,0.001247,0.000428,0.000101,0.000062,0.001074,0.033546,0.002106,0.023463,0.025667,0.003184,0.083275,0.000566,0.034919,0.906445,0.192698,0.129468,0.144826,0.122462,0.123321,0.121950,0.119777,0.123414,0.121169,0.111144,0.108264,0.125904,0.000298,0.000274,0.003889,0.000796,0.001265,0.000965,0.002356,0.001061,0.001001,0.001408,0.000303,0.000128,0.001316,200.000000,0.097436,artifact
0.018759,0.432316,3.303892,0.087339,0.166275,0.014346,0.049719,0.019792,-22.741395,3.460908,-0.839722,-1.124807,-1.248300,-0.701611,-0.238875,0.428172,0.640121,0.383507,-0.107994,-0.236561,-0.143936,0.038236,0.065302,0.004016,0.001624,0.000990,0.000801,0.001117,0.000173,0.000996,0.007867,0.045025,0.074486,0.040203,0.000713,0.027728,0.015663,0.037221,0.053210,0.013814,0.039167,0.000641,1.545851,0.779156,0.310793,0.295111,0.250360,0.204886,0.170395,0.219345,0.232058,0.161831,0.196978,0.100062,0.143648,0.029816,0.074765,0.003336,0.001024,0.000598,0.000482,0.000744,0.000123,0.000657,0.007915,0.043484,0.054643,0.010270,300.000000,0.193443,artifact
0.018051,0.420818,3.299932,0.070765,0.146524,0.007725,0.047959,0.018910,-24.114509,3.583190,-0.801339,-1.033857,-1.360845,-0.993042,-0.481103,0.314727,0.789226,0.708884,0.032410,-0.350721,-0.183292,0.026243,0.007347,0.001415,0.000731,0.000552,0.000539,0.000853,0.000083,0.001411,0.014312,0.041289,0.146767,0.043907,0.000243,0.018397,0.016828,0.031106,0.048929,0.010008,0.044184,0.000532,1.987655,0.628329,0.332648,0.212836,0.257858,0.294095,0.192441,0.127751,0.308681,0.279577,0.120480,0.252987,0.110186,0.019589,0.005545,0.001543,0.000773,0.000599,0.000541,0.000914,0.000096,0.001684,0.016356,0.027411,0.049789,0.009515,300.000000,0.328520,artifact
0.421350,0.005318,3.250664,0.317746,0.301464,1.389060,0.001268,0.621945,-25.722451,1.470346,-0.209049,0.085157,-0.057594,0.129099,0.028896,0.021047,-0.010091,0.037732,0.043599,0.066515,0.025082,0.008559,0.003796,0.022663,0.007246,0.010544,0.008293,0.017040,0.003434,0.005464,0.008106,0.010746,0.004532,0.007473,0.050662,0.003879,0.042324,0.019008,0.005582,0.183419,0.000377,0.107941,0.493779,0.224745,0.179266,0.150858,0.140727,0.171750,0.147594,0.143602,0.160253,0.128811,0.134954,0.135390,0.143330,0.004947,0.002499,0.010729,0.004099,0.005439,0.005958,0.011680,0.002882,0.004114,0.004573,0.005537,0.003040,0.003110,150.000000,0.111111,artifact
